Time,Absolute,GyroZ
1,3.002159357,-0.045813058
2,2.196369886,0.058149584
3,0.776595831,-0.012139597
4,0.720040202,-0.061804734
5,0.621819973,-0.036595412
6,0.863868654,-0.003994939
7,0.596666753,0.003113183
8,0.503454447,-0.009690474
9,0.648204029,0.039090291
10,0.783805728,0.022427149
11,0.743030071,-0.010059351
12,1.14634347,-0.026349444
13,0.726707995,0.031818938
14,0.687746286,-0.009637356
15,0.70963639,-0.003539787
16,0.719204783,0.019873906
17,0.8263399,-0.056775138
18,0.744338512,-0.009661518
19,1.075080991,0.017685974
20,0.952654541,0.04982553
21,0.988384306,-0.018329909
22,0.70474422,-0.050470572
23,0.762464583,0.090815544
24,1.080640197,-0.071878366
25,0.799708962,-0.064751379
26,0.968333483,0.053044975
27,0.827008963,0.075125575
28,0.845131457,-0.06075611
29,0.737080872,-0.017966373
30,0.774343491,0.038335204
31,0.856370151,0.098425083
32,0.840515137,-0.024510156
33,0.852692783,-0.067947447
34,0.794350147,-0.145023525
35,0.72057575,0.016906451
36,0.815486789,0.219388142
37,0.859121144,-0.094028026
38,0.647127986,0.094412185
39,0.812692046,-0.157083914
40,0.87035352,-0.020990586
41,0.900941849,0.105596676
42,0.917535245,0.025377113
43,0.897010088,0.001600164
44,0.803060055,-0.078891262
45,0.678546488,-0.001424172
46,0.709212005,-0.023930235
47,0.810485065,0.027145397
48,0.660043001,0.029715743
49,0.620949507,-0.039708372
50,0.706292987,-0.000762701
51,0.66734004,7.70E-05
52,0.891201854,0.021167541
53,0.757292867,0.023799084
54,0.838339865,-0.014379611
55,0.91146481,0.014972772
56,0.916635275,0.023315355
57,1.188373804,-0.106963068
58,0.825830162,0.081048332
59,0.832606077,-0.085886084
60,0.682282746,0.016284561
61,0.613402009,0.089428395
62,0.525235355,0.078833021
63,0.430153459,-0.12075755
64,0.429069936,-0.015784433
65,0.438888907,0.037268575
66,0.421427101,-0.103876963
67,0.566470802,0.003922357
68,0.645120084,0.02799073
69,0.502862513,0.031631093
70,0.431008071,-0.004996495
71,0.382607013,-0.000385472
72,0.460818142,0.019723497
73,0.498393923,0.099481143
74,0.297007084,0.02682733
75,0.242625087,0.134105474
76,0.257488877,-0.024626812
77,0.375145495,-0.581234753
78,0.414835066,-0.0514451
79,0.531475663,0.534420848
80,0.595049679,-0.03835924
81,0.659540176,-0.071565896
82,0.632828295,-0.025755115
83,0.755979657,-0.098521218
84,0.604424119,0.141482025
85,0.681549788,-0.267794073
86,0.540784955,0.155621126
87,0.664181769,0.082628466
88,0.612120152,-0.006457486
89,0.683169663,0.019940557
90,0.679562628,-0.024032518
91,0.953549862,-0.041367918
92,0.894373894,0.089212336
93,0.655050576,-0.005621538
94,0.638414145,-0.130144835
95,0.64389801,0.091659158
96,0.790534198,-0.075233564
97,0.666868627,0.107719183
98,0.649420142,-0.032376207
99,0.655899048,-0.062765963
100,0.716461778,-0.01054571
101,0.68366462,0.013660655
102,0.63573736,0.179164052
103,0.588963091,-0.087135315
104,0.589434326,-0.162569791
105,0.550000191,0.041113093
106,0.499956012,-0.080604397
107,0.439555705,0.02515891
108,0.342449427,0.06099638
109,0.283532023,-0.002436015
110,0.24778384,-0.03312825
111,0.24414143,-0.052336019
112,0.230520204,0.22581017
113,0.231939942,-0.140202969
114,0.22674036,0.302567691
115,0.214440495,0.147091493
116,0.205376983,-0.168093145
117,0.245173678,-0.233224899
118,0.395635396,0.133253559
119,0.404589951,0.006971506
120,0.396188885,0.004829169
121,0.402386814,-0.066207975
122,0.464581758,-0.106635489
123,0.445060045,-0.045636106
124,0.539737344,0.03214157
125,0.633568764,-0.004787346
126,0.676909924,0.025590558
127,0.603313267,0.111453451
128,0.597444415,0.081439272
129,0.709681809,-0.213777974
130,0.739410102,0.005439046
131,0.639494896,0.014269682
132,0.89593935,0.01625355
133,0.728474975,-0.019536469
134,0.71128583,0.070828326
135,0.792201817,-0.030511679
136,0.742491066,0.008232886
137,0.561828315,0.16845341
138,0.620257497,-0.031898752
139,0.521643519,-0.099412687
140,0.559489012,-0.266815215
141,0.570263565,-0.048067309
142,0.596708,0.205758229
143,0.595490158,0.204846069
144,0.601491809,-0.117088839
145,0.893737316,-0.180260867
146,0.934495986,0.08599025
147,0.895080745,0.026995689
148,0.527088821,0.050430514
